,word,tf
0,继电器,230
1,的,225
2,电流,193
3,电压,171
4,保护,132
5,控制,109
6,电缆,104
7,时间,102
8,装置,96
9,式,90
10,开关,79
11,绝缘,79
12,系统,71
13,母线,70
14,故障,69
15,加热,69
16,电路,68
17,连接器,67
18,电极,65
19,接地,64
20,变压器,61
21,设备,54
22,等离子体,54
23,元件,53
24,接触,52
25,连接,50
26,炉,50
27,特性,49
28,件,49
29,功率,48
30,和,48
31,测量,48
32,回路,48
33,信号,47
34,电源,47
35,输出,46
36,触点,46
37,电阻,45
38,断路器,45
39,电力,45
40,导体,45
41,动词,44
42,感应,43
43,电池,42
44,试验,42
45,器,41
46,辐射,41
47,仪表,39
48,线,39
49,图,38
50,不,38
51,可,38
52,负荷,37
53,隔离,36
54,阻抗,36
55,额定,36
56,型,36
57,运行,35
58,非,35
59,性,35
60,安全,35
61,电容,34
62,输入,34
63,电,34
64,变电站,33
65,系数,33
66,量,33
67,金属,33
68,负载,32
69,晶体管,32
70,最大,32
71,输电,31
72,互感器,31
73,网络,31
74,范围,31
75,线路,30
76,短路,30
77,避雷器,30
78,绝缘子,30
79,二极管,29
80,电弧炉,29
81,堆,29
82,绕组,28
83,与,28
84,工作,28
85,套管,28
86,气体,28
87,补偿,27
88,比,27
89,红外,27
90,率,26
91,自动,26
92,频率,26
93,释放,26
94,介质,26
95,放射性,26
96,温度,25
97,中子,25
98,电离室,25
99,三相,24
100,屏蔽,24
101,因数,24
102,自,23
103,焊接,23
104,接线,23
105,临界,23
106,表面,23
107,电力系统,22
108,交流,22
109,滤波器,22
110,相位,22
111,端,22
112,操作,22
113,充电,22
114,密封,22
115,接头,21
116,函数,21
117,响应,21
118,热,21
119,半导体,21
120,单位,21
121,发生器,21
122,脉冲,21
123,带,21
124,导电,21
125,防护,21
126,放电,21
127,电弧,21
128,电气,21
129,微波,21
130,高压,20
131,同步,20
132,功能,20
133,源,20
134,动作,20
135,放大器,20
136,反向,20
137,电感,20
138,蓄电池,20
139,容量,20
140,燃料,20
141,能力,20
142,监测仪,20
143,发电机,19
144,稳定,19
145,度,19
146,对称,19
147,线圈,19
148,差动,19
149,曲线,19
150,过,19
151,极化,19
152,联结,19
153,励磁,18
154,电容器,18
155,矩阵,18
156,测试,18
157,饱和,18
158,区,18
159,耦合,18
160,平衡,18
161,供电,18
162,端子,18
163,夹,18
164,转换,18
165,裂变,18
166,闸,17
167,固定,17
168,串联,17
169,终端,17
170,表,17
171,状态,17
172,地,17
173,直接,17
174,误差,17
175,效应,17
176,导线,17
177,连续,17
178,安装,17
179,压接,17
180,电抗器,16
181,电动机,16
182,分量,16
183,方向,16
184,增益,16
185,电子,16
186,分段,16
187,室,16
188,值,16
189,辅助,16
190,外壳,16
191,事故,16
192,区域,16
193,加热器,16
194,材料,16
195,层,16
196,发射器,16
197,损耗,15
198,极限,15
199,电位,15
200,理想,15
201,无,15
202,延时,15
203,跳闸,15
204,激励,15
205,对,15
206,主,15
207,或,15
208,外,15
209,单元,15
210,能,15
211,有效,15
212,计数管,15
213,质量,15
214,双,14
215,距离,14
216,谐波,14
217,器件,14
218,重合,14
219,箱,14
220,反应,14
221,空气,14
222,市场,14
223,形容词,14
224,记录仪,14
225,效率,14
226,开关设备,14
227,无功,13
228,直流,13
229,分析,13
230,配电,13
231,及,13
232,技术,13
233,相,13
234,转移,13
235,极,13
236,参数,13
237,合闸,13
238,切换,13
239,电价,13
240,泄漏,13
241,局部,13
242,内,13
243,密度,13
244,电能表,13
245,电热,13
246,粉尘,13
247,作用,13
248,恢复,13
249,霍尔,13
250,术语,13
251,感应器,13
252,炬,13
253,熔化,13
254,工具,13
255,能量,12
256,导纳,12
257,起动,12
258,启动,12
259,点,12
260,小,12
261,板,12
262,控制器,12
263,磁,12
264,复归,12
265,形,12
266,变量,12
267,扫描,12
268,机构,12
269,工艺,12
270,云母,12
271,坩埚,12
272,循环,12
273,长度,12
274,激光,12
275,等,12
276,指数,12
277,纸,12
278,气氛,12
279,低压,11
280,分,11
281,并联,11
282,功率因数,11
283,多,11
284,低电压,11
285,低,11
286,算法,11
287,周期,11
288,继电保护,11
289,瞬态,11
290,参考,11
291,光电,11
292,角,11
293,存储器,11
294,内部,11
295,数字,11
296,发电,11
297,制动,11
298,基准,11
299,顺序,11
300,灭弧,11
301,分离,11
302,管,11
303,有,11
304,间隔,11
305,检查,11
306,用,11
307,权,11
308,单,11
309,极板,11
310,油,11
311,触头,11
312,接端,11
313,基本,11
314,点燃,11
315,照射,11
316,系,11
317,液体,11
318,护套,11
319,部分,11
320,有功,10
321,暂态,10
322,电抗,10
323,波,10
324,振荡,10
325,法,10
326,按钮,10
327,阳极,10
328,门,10
329,触发,10
330,多相,10
331,插座,10
332,屏,10
333,冲击,10
334,积分,10
335,整定,10
336,定时,10
337,照明,10
338,引入,10
339,真空,10
340,灯,10
341,槽,10
342,间接,10
343,超声,10
344,剂量,10
345,注量,10
346,相对,10
347,核,10
348,标度,10
349,组件,10
350,环境,10
351,活度,10
352,指示器,10
353,灵敏度,10
354,闸流,10
355,仪器仪表,10
356,封闭,10
357,开断,10
358,关合,10
359,压,9
360,行波,9
361,可靠,9
362,过电压,9
363,配置,9
364,原理,9
365,总,9
366,中性点,9
367,速度,9
368,转换器,9
369,衰减,9
370,保持,9
371,零,9
372,间隙,9
373,计数,9
374,影响,9
375,最小,9
376,损失,9
377,联锁,9
378,测量仪,9
379,位移,9
380,互联,9
381,条件,9
382,寿命,9
383,户外,9
384,尺,9
385,耐久性,9
386,玻璃,9
387,电子束,9
388,闪烁,9
389,集成电路,9
390,压力,9
391,结构,9
392,空载,8
393,静态,8
394,机,8
395,三,8
396,零序,8
397,转子,8
398,馈线,8
399,显示,8
400,单相,8
401,最高,8
402,附加,8
403,变换,8
404,采样,8
405,备用,8
406,正弦,8
407,谐振,8
408,中间,8
409,正向,8
410,电阻器,8
411,反馈,8
412,整流,8
413,后,8
414,闭锁,8
415,式电流,8
416,瓦斯,8
417,类型,8
418,电磁,8
419,传输,8
420,弧,8
421,管式,8
422,击穿,8
423,闪光,8
424,体,8
425,棒,8
426,压入,8
427,预,8
428,污染,8
429,切割,8
430,约定,8
431,发射,8
432,定向,8
433,本质,8
434,当量,8
435,平均,8
436,场效应,8
437,户内,8
438,孔,8
439,计,8
440,复,8
441,冷却,8
442,二端,8
443,增殖,8
444,反应堆,8
445,维护,8
446,正压,8
447,人员,8
448,因子,8
449,反射,8
450,自由,8
451,离子,8
452,微分,8
453,力,8
454,处理,8
455,光,8
456,面积,8
457,感应炉,8
458,输送,7
459,定子,7
460,标准,7
461,快速,7
462,控制系统,7
463,模拟,7
464,稳态,7
465,开路,7
466,直流电,7
467,磁通,7
468,扩散,7
469,阴极,7
470,比较,7
471,对数,7
472,数,7
473,通道,7
474,晶闸管,7
475,组合,7
476,计数器,7
477,转矩,7
478,同轴,7
479,固体,7
480,电气设备,7
481,电能,7
482,总线,7
483,支架,7
484,偏移,7
485,欠,7
486,动,7
487,位置,7
488,过载,7
489,负,7
490,定位,7
491,报警,7
492,类别,7
493,节点,7
494,组,7
