,word,word_cut
0,电力系统,电力系统l
1,发电机,发电机n
2,励磁,励磁n
3,励磁器,励磁n 器n
4,电压,电压n
5,电流,电流n
6,升压变压器,升压v 变压器n
7,母线,母线n
8,变压器,变压器n
9,空载损耗,空载v 损耗n
10,铁损,铁n 损n
11,铜损,铜n 损n
12,空载电流,空载v 电流n
13,无功损耗,无功a 损耗n
14,有功损耗,有功a 损耗n
15,输电系统,输电v 系统n
16,高压侧,高压n 侧v
17,输电线,输电线n
18,高压,高压n
19,低压,低压v
20,中压,中f 压v
21,功角稳定,功角n 稳定a
22,电压稳定,电压n 稳定a
23,暂态稳定,暂态n 稳定a
24,电厂,电厂n
25,能量输送,能量n 输送v
26,交流,交流n
27,直流,直流n
28,电网,电网n
29,落点,落点n
30,开关站,开关站n
31,调节,调节vn
32,高抗,高抗v
33,并列的,并列v 的uj
34,裕度,裕度nz
35,三相故障,三相n 故障n
36,分接头,分v 接头v
37,切机,切机n
38,高顶值,高a 顶值n
39,静态,静态n
40,机端电压控制,机n 端电压n 控制v
41,电抗,电抗vn
42,电阻,电阻n
43,功角,功角n
44,有功功率,有功a 功率n
45,电容器,电容器n
46,电抗器,电抗器n
47,元件设备,元件n 设备vn
48,三绕组变压器,三m 绕组n 变压器n
49,双绕组变压器,双n 绕组n 变压器n
50,并联电容器,并联ns 电容器n
51,发电厂,发电厂n
52,断路器,断路器n
53,刀闸隔离开关,刀闸n 隔离v 开关v
54,电动机,电动机n
55,状态参数,状态参数n
56,档位,档位n
57,功率因数,功率因数n
58,功率,功率n
59,电压等级,电压n 等级b
60,阻抗,阻抗v
61,正序阻抗,正序n 阻抗v
62,负序阻抗,负序n 阻抗v
63,零序阻抗,零序n 阻抗v
64,电导,电导n
65,电纳,电纳n
66,无功负载,无功a 负载v
67,或者,或者c
68,有功负载,有功a 负载v
69,遥测,遥测vn
70,遥信,遥信vn
71,励磁电流转子电流,励磁n 电流n 转子n 电流n
72,定子,定子n
73,上限,上限v
74,下限,下限v
75,固定串联电容补偿,固定a 串联ns 电容n 补偿vn
76,装机容量,装机容量n
77,更多有用知识,更d 多m 有用v 知识v
78,双回同杆并架,双回m 同杆n 并c 架m
79,变电站,变电站n
80,补偿度,补偿vn 度zg
81,无功补偿,无功a 补偿vn
82,极限切除时间,极限a 切除v 时间n
83,强行励磁,强行v 励磁n
